"Student number",Total
1661493,23.55
1234567,0.8
1963317,67.9
1988808,9.05
1999540,45.85
1927213,0.2
1931326,34.45
1917889,24.85
1912054,68.45
1915789,63.6
2025086,21.25
1931725,23.1
2022818,55.2
1922629,2.95
1844180,113.05
2166224,24.4
2004933,11.4
1538926,30.7
1900293,6.75
1663887,15.35
2075040,48.6
1949578,56.2
1903748,10.5
1995367,38.4
1952463,92.2
2014726,28.9
1986813,20.8
1811185,127
1921908,16.15
1903969,53.15
2014300,42.6
1877054,16.95
2125528,54.2
1707981,0.05
1782509,62.9
1985388,23.1
1993178,54.2
1827448,7.4
1986260,23.25
1921622,45.05
1847805,21.75
1924028,16.65
2075865,16.95
2193698,43.25
1651412,25.85
2128373,65
1929216,11.6
1783866,25.5
1809660,34.4
2019973,15.8
2120720,28.15
2102315,26.7
2074702,15.35
2184680,37.3
2090341,11.4
1828576,66.65
2082837,23.5
1958933,94.9
2070545,26.1
1791249,7.75
2102625,10.9
1918397,10
2096501,23.05
2087138,15.5
2094770,11.4
2205688,6.75
2199319,10.05
1774662,1.35
1994689,5.95
2177005,14.5
2194171,7.25
2164914,23
1687425,2.15
2213060,12.95
1819674,3.15
2169061,13.25
2123665,16.05
1664050,41
1663135,14.25
2173751,12.25
1730258,9.5
2093804,19.35
2133997,20.45
2185954,18.6
1692062,7.85
2143097,3.55
pendays,11.5
1912151,14.15
1653598,9.15
2111853,26.8
2181002,8.6
xternal,12.6
1935364,10.4
1686216,2
7641741,0.5
1570803,2.2
1569562,2.5
1425994,3.5
1916122,4.5
2175797,7.9
2125854,4.2
1993070,1.35
1912623,5.05
2006316,1.05
1901621,4.45
1735454,1.2
2139448,2.5
2094959,2.85
1527061,1.25
7648843,4.15
2187337,14.55
7662016,2.4
2008823,0.6
1368176,2.25
1574906,0.4
1422626,1
1663666,0.6
1639684,0.5
1646508,5.3
1420178,1.2
2061015,0.6
1690477,1.25
1810219,1.2
2130971,1.55
1930540,1.9
2158760,1.5
7686814,0.55
7647383,0.5
1870386,0.9
1680463,0.6
1817353,0.5
1778358,1.95
