"Student number",Total
1661493,9.9
1234567,0.8
1963317,27.95
1988808,2
1999540,15.65
1927213,0.2
1931326,11.55
1917889,4.5
1912054,29.55
1915789,13.35
2025086,10.35
1931725,10
2022818,8.5
1922629,1.85
1844180,33.1
2166224,11.5
2004933,4.5
1538926,10.65
1900293,3.2
1663887,2.65
2075040,26.85
1949578,20.15
1903748,5.95
1995367,11.25
1952463,20.6
2014726,6.15
1986813,5.35
1811185,24.9
1921908,4.15
1903969,19.15
2014300,15.1
1877054,7.4
2125528,25.5
1707981,0.05
1782509,17.45
1985388,9.25
1993178,13.65
1827448,4.8
1986260,7.25
1921622,13.5
1847805,2
1924028,6.3
2075865,5.75
2193698,7.9
1651412,4.9
2128373,3.05
1929216,2.3
1783866,3.3
1809660,12.45
2019973,2.4
2120720,6.6
2102315,7.05
2074702,2.2
2184680,7.8
2090341,2.35
1828576,10.25
2082837,4.05
1958933,23.9
2070545,3.85
1791249,3.2
2102625,4
1918397,2
2096501,5.15
2087138,14.9
2094770,3.45
2205688,1.9
2199319,1.75
1774662,0.4
1994689,1.15
2177005,5.05
2194171,2.05
2164914,4
1687425,2.15
2213060,3.45
1819674,3.15
2169061,3
2123665,2.9
1664050,3.15
1663135,4.4
2173751,4.2
1730258,2.15
2093804,3.85
2133997,4.3
2185954,2.6
1692062,1.2
2143097,1.55
pendays,11.5
1912151,2.6
1653598,1.15
2111853,1.15
2181002,0.85
xternal,7.6
1935364,2.9
1686216,1
7641741,0.5
1570803,2.2
1569562,1
1425994,3.5
1916122,1.6
2175797,0.8
2125854,0.8
1993070,0.3
1912623,2.4
2006316,0.75
