"Student number",Total
1661493,17.65
1234567,0.8
1963317,37.4
1988808,4.3
1999540,22.25
1927213,0.2
1931326,20.9
1917889,9.7
1912054,43.25
1915789,36
2025086,11.8
1931725,15.7
2022818,18.8
1922629,1.85
1844180,57.95
2166224,16.4
2004933,6.95
1538926,15.75
1900293,4.75
1663887,7.05
2075040,34.75
1949578,30.1
1903748,7.05
1995367,16.8
1952463,47.6
2014726,13.3
1986813,8.5
1811185,52.25
1921908,6.4
1903969,30.9
2014300,24.35
1877054,15.1
2125528,39.9
1707981,0.05
1782509,29.7
1985388,13.1
1993178,30.55
1827448,7.4
1986260,14.3
1921622,22.4
1847805,9.7
1924028,11
2075865,10.1
2193698,17.1
1651412,8.1
2128373,17.3
1929216,2.35
1783866,9.05
1809660,23.8
2019973,6.6
2120720,15.2
2102315,15.4
2074702,4.2
2184680,17.05
2090341,5.8
1828576,28.05
2082837,8.85
1958933,42.8
2070545,8.8
1791249,5.7
2102625,5.8
1918397,3.1
2096501,10.8
2087138,15.5
2094770,6.3
2205688,4.1
2199319,1.75
1774662,0.4
1994689,4.55
2177005,8.3
2194171,2.4
2164914,7.6
1687425,2.15
2213060,8.8
1819674,3.15
2169061,4.7
2123665,7.3
1664050,13.7
1663135,7.2
2173751,7.3
1730258,2.15
2093804,4.25
2133997,9
2185954,6.65
1692062,3
2143097,1.55
pendays,11.5
1912151,5.8
1653598,5.75
2111853,4.95
2181002,2.75
xternal,12.6
1935364,4.25
1686216,1
7641741,0.5
1570803,2.2
1569562,1
1425994,3.5
1916122,2.5
2175797,4.5
2125854,1.95
1993070,0.85
1912623,3.45
2006316,1.05
1901621,4.15
1735454,1.2
2139448,1.6
2094959,2.25
1527061,0.05
7648843,2.5
2187337,0.6
7662016,1.8
2008823,0.6
