"Student number",Total
s1809660,52.5
s1921908,24.2
s1993178,74.55
s1931326,28.65
s1663135,24.4
s1773615,0.6
s1963341,0.6
s1958933,29.5
s1921622,33.1
s2014300,27.45
s2006316,5.65
s1927213,2.6
s1988808,3.55
s1999540,27.85
s1924028,7.4
s1858734,3.1
s1952463,47.7
s2184680,25.85
s1657445,1.2
s1735454,4.8
s1963317,57.05
s1903969,24.35
s1811185,119.6
s1782509,27.05
s1840215,1.2
s1929216,35.5
s1664050,51.6
s1931725,16.7
s1985388,25.1
s1901621,5.15
s2008823,3.15
s1912623,1.95
s1828576,41.6
s1791249,15.45
s1949578,54.65
s2025086,19.9
s1995367,20.85
s1844180,67.25
s1986260,22.3
s1917889,33.85
s1814796,0.1
s1646508,1.7
s1915789,39.45
s2004933,18.3
s1783866,14.25
s2205688,5
s2022818,23.15
s2133997,6.1
s2061015,5
s2082136,5
s1912054,34.95
s2014726,30.8
s2074702,9.8
s2164914,25.4
s1944738,9.55
s1653598,4.85
s1986813,15.65
s2120720,45.25
s2173751,25.3
s1903748,7.85
s2193698,30.85
s2111853,5
s2102315,14.55
s2194171,28.5
s1916122,19.05
s2019973,5.75
s2177005,12.7
s1918397,3.15
s1912151,14.35
s2187337,14.4
s1827448,21.8
s1877054,10.55
s1661493,20.7
s1570803,0.5
s2181002,15.7
s1935364,9.25
s2070545,27.95
s1847805,7.2
m7648843,0.9
s2199319,17.95
s2123665,7.45
s2166224,21.85
s2096501,22.25
s2082837,21
s1663887,4.35
s2185954,19.5
s1721542,1.6
s2094959,20.1
s1994689,3.5
s2102625,23.95
s1651412,5.9
s1594249,3.25
s2087138,89.4
s2090341,5
s2143097,5.95
s2094770,6.9
s1922629,8.05
s1688626,8.85
s1730258,3.85
s1538926,6.4
s1774662,0.4
s2175797,5.8
s2075865,20.05
s2157314,18.25
s2130971,18.25
s2005573,1.2
m7686814,0.55
s2218488,13.25
s1692062,0.55
s2128373,15.35
s2075040,10.85
S2125528,6.8
external,10
s2093804,2.75
s1686216,0.9
